bin,NLO,LO,kfactor
10,5.22725,87.201474,16.68209364
30,53.2447,208.95852,3.924494269
50,172.359,356.2283,2.066780963
70,290.891,499.70448,1.717840978
90,634.911,618.74032,0.974530793
125,656.703,19.613243,0.02986623
175,128.47,2.1910384,0.017054864
225,45.5185,0.66902754,0.014697926
275,20.6622,0.2712512,0.013127895
350,15.4966,0.18737035,0.012091062
450,5.5245,0.063885159,0.011563971
550,2.25548,0.021724677,0.009631953
650,1.06332,0.010623537,0.009990912
750,0.554761,0.009705656,0.017495203
900,0.495592,0.006592265,0.013301798
1100,0.180657,0.004440043,0.024577199
1350,0.0954402,0.002681188,0.028092855
1650,0.0346184,0.000600913,0.017358206